order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,150,5,246.63,1233.15
2,2,186,5,195.1,975.5
3,2,183,4,272.88,1091.52
4,2,57,3,157.11,471.33
5,3,169,2,95.19,190.38
6,3,143,4,47.09,188.36
7,4,186,2,284.6,569.2
8,4,144,3,199.78,599.34
9,4,196,2,113.02,226.04
10,5,108,3,179.81,539.43
11,5,85,4,256.84,1027.36
12,5,96,4,25.56,102.24
13,6,149,5,44.74,223.7
14,6,159,4,163.64,654.56
15,6,19,4,25.67,102.68
16,6,121,2,49.83,99.66
17,6,50,2,109.36,218.72
18,7,118,1,151.39,151.39
19,7,37,2,100.88,201.76
20,7,81,1,11.36,11.36
21,7,184,3,70.71,212.13
22,7,47,2,177.11,354.22
23,8,126,1,47.52,47.52
24,8,196,4,193.7,774.8
25,9,110,1,164.79,164.79
26,9,123,3,285.51,856.53
27,9,99,3,229.48,688.44
28,9,2,5,65.26,326.3
29,10,161,2,75.61,151.22
30,11,80,4,155.96,623.84
31,11,34,3,58.43,175.29
32,11,27,1,96.47,96.47
33,12,117,5,161.98,809.9
34,12,187,4,267.5,1070.0
35,12,134,2,109.38,218.76
36,13,92,4,15.54,62.16
37,13,193,2,220.87,441.74
38,13,49,2,71.24,142.48
39,13,43,1,181.0,181.0
40,14,32,1,118.8,118.8
41,14,94,3,233.65,700.95
42,15,13,1,23.98,23.98
43,15,153,1,130.85,130.85
44,15,170,4,45.83,183.32
45,15,28,3,147.56,442.68
46,15,168,2,69.58,139.16
47,16,78,4,201.87,807.48
48,17,70,4,250.88,1003.52
49,17,160,1,158.35,158.35
50,17,156,5,44.13,220.65
51,17,180,1,237.57,237.57
52,17,36,4,67.6,270.4
53,18,200,5,292.19,1460.95
54,18,68,3,213.99,641.97
55,19,42,4,273.99,1095.96
56,19,11,4,105.87,423.48
57,19,141,1,13.69,13.69
58,20,29,5,204.01,1020.05
59,21,24,5,31.75,158.75
60,21,200,1,272.38,272.38
61,22,117,3,144.63,433.89
62,22,76,1,245.81,245.81
63,23,75,3,242.45,727.35
64,24,110,1,256.85,256.85
65,24,190,1,12.79,12.79
66,24,30,2,202.36,404.72
67,25,85,4,286.97,1147.88
68,25,92,3,264.75,794.25
69,26,96,3,63.02,189.06
70,27,103,4,241.96,967.84
71,27,117,2,42.78,85.56
72,27,70,1,294.65,294.65
73,27,99,2,40.07,80.14
74,28,124,5,120.12,600.6
75,28,146,3,187.28,561.84
76,28,174,2,150.08,300.16
77,28,113,4,42.74,170.96
78,28,47,4,137.79,551.16
79,29,67,3,13.57,40.71
80,30,197,2,293.58,587.16
81,30,191,3,160.53,481.59
82,30,148,5,37.61,188.05
83,30,186,2,149.75,299.5
84,30,145,4,53.1,212.4
85,31,157,5,256.16,1280.8
86,31,14,4,262.12,1048.48
87,31,3,1,227.9,227.9
88,31,165,3,79.85,239.55
89,31,41,3,24.59,73.77
90,32,141,4,126.94,507.76
91,32,165,2,32.85,65.7
92,33,147,4,101.65,406.6
93,33,115,4,226.11,904.44
94,33,23,1,39.76,39.76
95,33,128,4,20.38,81.52
96,34,1,3,268.12,804.36
97,34,24,5,69.98,349.9
98,34,155,4,285.59,1142.36
99,34,159,3,249.33,747.99
100,34,164,2,254.84,509.68
101,35,144,5,147.2,736.0
102,35,197,3,217.6,652.8
103,35,159,1,38.25,38.25
104,36,1,3,250.66,751.98
105,36,88,3,168.82,506.46
106,37,180,2,152.79,305.58
107,37,28,4,41.01,164.04
108,37,12,5,66.81,334.05
109,38,101,2,142.53,285.06
110,39,184,1,229.56,229.56
111,39,87,1,278.71,278.71
112,40,32,5,287.29,1436.45
113,40,198,2,289.51,579.02
114,40,116,1,163.8,163.8
115,40,118,1,170.43,170.43
116,40,169,4,253.25,1013.0
117,41,131,5,60.35,301.75
118,41,200,2,40.02,80.04
119,41,46,5,185.78,928.9
120,41,178,3,156.18,468.54
121,42,108,2,89.33,178.66
122,42,156,3,291.43,874.29
123,42,178,4,243.38,973.52
124,42,196,2,129.69,259.38
125,43,77,5,193.44,967.2
126,43,180,2,70.81,141.62
127,43,141,3,209.11,627.33
128,43,81,2,294.58,589.16
129,43,183,2,156.12,312.24
130,44,182,3,173.05,519.15
131,44,30,5,175.48,877.4
132,44,195,4,205.52,822.08
133,45,74,1,120.44,120.44
134,45,109,1,204.36,204.36
135,45,4,2,87.41,174.82
136,45,134,2,295.21,590.42
137,45,28,3,52.45,157.35
138,46,177,3,69.15,207.45
139,47,9,5,260.79,1303.95
140,47,92,5,122.77,613.85
141,47,116,5,237.44,1187.2
142,47,27,3,210.94,632.82
143,47,158,1,278.67,278.67
144,48,107,1,13.75,13.75
145,48,176,3,68.89,206.67
146,48,81,4,250.69,1002.76
147,48,142,3,228.97,686.91
148,49,190,2,95.3,190.6
149,49,155,2,295.19,590.38
150,49,51,1,64.21,64.21
151,49,199,2,223.16,446.32
152,49,186,1,119.38,119.38
153,50,72,2,179.35,358.7
154,50,143,3,11.63,34.89
